191.000	0.309	0.923	1.067	0.880
192.000	0.309	0.915	1.073	0.879
193.000	0.309	0.927	1.081	0.897
194.000	0.311	0.936	1.073	0.897
195.000	0.311	0.926	1.091	0.897
196.000	0.310	0.936	1.096	0.906
197.000	0.311	0.929	1.091	0.910
198.000	0.320	0.939	1.098	0.910
199.000	0.315	0.936	1.102	0.909
200.000	0.319	0.951	1.099	0.922
201.000	0.317	0.960	1.126	0.917
202.000	0.321	0.957	1.096	0.931
203.000	0.322	0.956	1.124	0.925
204.000	0.324	0.960	1.123	0.940
205.000	0.324	0.962	1.118	0.931
206.000	0.329	0.972	1.123	0.944
207.000	0.325	0.968	1.140	0.951
208.000	0.328	0.979	1.129	0.949
209.000	0.330	0.982	1.151	0.956
210.000	0.330	0.989	1.152	0.963
211.000	0.332	0.992	1.162	0.974
212.000	0.332	0.989	1.157	0.972
213.000	0.333	1.003	1.166	0.979
214.000	0.336	1.000	1.180	0.981
215.000	0.334	0.998	1.196	0.982
216.000	0.335	1.012	1.184	0.979
217.000	0.337	1.008	1.197	0.988
218.000	0.339	1.024	1.193	1.007
219.000	0.339	1.021	1.197	1.006
220.000	0.340	1.030	1.224	1.005
221.000	0.340	1.034	1.228	1.004
222.000	0.345	1.041	1.215	1.024
223.000	0.340	1.035	1.230	1.014
224.000	0.342	1.037	1.215	1.027
225.000	0.346	1.044	1.225	1.029
226.000	0.346	1.047	1.213	1.039
227.000	0.347	1.061	1.229	1.029
228.000	0.349	1.061	1.258	1.043
229.000	0.349	1.065	1.233	1.053
230.000	0.350	1.065	1.230	1.048
231.000	0.350	1.078	1.258	1.063
232.000	0.355	1.078	1.272	1.069
233.000	0.356	1.082	0.981	1.075
234.000	0.354	1.078	0.979	1.079
235.000	0.357	1.083	0.994	1.076
236.000	0.357	1.096	1.011	1.090
237.000	0.360	1.098	1.009	1.093
238.000	0.360	1.112	1.028	1.099
239.000	0.367	1.110	1.035	1.096
240.000	0.362	1.112	1.039	1.109
241.000	0.367	1.116	1.047	1.102
242.000	0.367	1.124	1.058	1.126
243.000	0.367	1.125	1.055	1.124
244.000	0.370	1.135	1.064	1.126
245.000	0.374	1.133	1.069	1.125
246.000	0.375	1.140	1.076	1.142
247.000	0.375	1.148	1.080	1.142
248.000	0.379	1.150	1.098	1.146
249.000	0.376	1.153	1.089	1.156
250.000	0.377	1.170	1.110	1.158
251.000	0.379	1.166	1.114	1.161
252.000	0.382	1.165	1.113	1.171
253.000	0.386	1.172	1.142	1.178
254.000	0.381	1.182	1.138	1.186
255.000	0.384	1.186	1.144	1.191
256.000	0.388	0.693	1.148	0.582
257.000	0.388	0.692	1.155	0.589
258.000	0.390	0.694	1.157	0.596
259.000	0.392	0.695	1.154	0.593
260.000	0.396	0.700	1.166	0.592
261.000	0.398	0.701	1.184	0.595
262.000	0.401	0.702	1.177	0.597
263.000	0.406	0.704	1.176	0.603
264.000	0.403	0.701	1.173	0.600
265.000	0.406	0.714	1.195	0.612
266.000	0.408	0.708	1.194	0.608
267.000	0.410	0.715	1.201	0.608
268.000	0.410	0.709	1.197	0.607
269.000	0.417	0.715	1.210	0.610
270.000	0.413	0.714	1.222	0.614
271.000	0.417	0.720	1.217	0.617
272.000	0.416	0.724	1.220	0.628
273.000	0.422	0.721	1.229	0.622
274.000	0.423	0.724	1.238	0.628
275.000	0.425	0.740	1.226	0.630
276.000	0.427	0.739	1.266	0.632
277.000	0.428	0.743	1.262	0.635
278.000	0.430	0.735	1.275	0.635
279.000	0.423	0.739	1.268	0.634
280.000	0.428	0.742	0.969	0.648
281.000	0.428	0.742	0.958	0.639
282.000	0.430	0.749	0.982	0.655
283.000	0.429	0.741	0.966	0.647
284.000	0.431	0.756	0.975	0.660
285.000	0.435	0.757	0.979	0.657
286.000	0.441	0.757	0.998	0.661
287.000	0.441	0.757	1.002	0.661
288.000	0.439	0.759	0.990	0.667
289.000	0.446	0.764	0.996	0.670
290.000	0.448	0.763	1.007	0.669
291.000	0.452	0.763	1.014	0.670
292.000	0.452	0.765	1.031	0.668
293.000	0.452	0.773	1.037	0.674
294.000	0.453	0.772	1.043	0.676
295.000	0.459	0.778	1.041	0.680
296.000	0.464	0.775	1.039	0.683
297.000	0.460	0.783	1.047	0.683
298.000	0.467	0.783	1.072	0.688
